Index,Title,Author,Summary,Word Count,Reading Ease,Estimated Reading Time
11,Short Fiction,Nikolai Gogol,Nikolai Gogol spent most of his literary career writing short stories| drawing inspiration from his childhood in Ukraine and his adult life in St. Petersburg. His stories are filled with larger than life yet relatable characters and perfectly described locations| and span many genres from historical epics to early horror and surrealism.His influence on Russian literature cannot be understated: Fyodor Dostoyevsky is quoted as saying “We all come out from Gogol’s ‘Overcoat|’” (presented here as “The Mantle”) and mentioned him by name in Crime and Punishment; Mikhail Bulgakov stated that “no-one can compare with him|” and Vladimir Nabokov wrote a full biography. Many of the stories in this collection have been adapted for stage and film| including the “The Nose” as an opera by Dmitri Shostakovich.Collected here are all of the public domain translations into English of Gogol’s short stories| in chronological order of the original Russian publication. They were translated by Claud Field| Isabel F. Hapgood| and Vizetelly and Company.,154972,70.33,9h 24m
12,Love Among the Chickens,P. G. Wodehouse,P. G. Wodehouse once described his writing as “musical comedy without music|” and Love Among the Chickens is one of the earliest examples of his trademark style. The narrator| Jeremy Garnet| is a mild-mannered author attempting to finish his next novel in peace and quiet. Enter Stanley Ukridge| a man brimming with endless schemes| who draws the narrator into his latest| “the idea of a lifetime”?—running a chicken farm.With little practical knowledge| yet boundless ambition| they move to a country house and put the plan into action. Along the way| Garnet falls headlong in love with a woman on the train| and becomes consumed with winning her heart| despite formidable obstacles.The original edition of Love Among the Chickens was published in the UK in 1906. This newer edition dates from 1921 and is described as “entirely rewritten by the author.” It is the first introduction in print of the character Ukridge| who would appear again in other short stories and novels by Wodehouse.,51545,76.11,3h 8m
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
99,,,,,,
100,,,,,,
